Data extracted on 30/11/2021 17:35:17 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Main GDP aggregates per capita [NAMA_10_PC$DEFAULTVIEW];;;;;;;;;;;;;;;;;;;
Last updated: ;29/11/2021 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Unit of measure;;Current prices, euro per capita;;;;;;;;;;;;;;;;;;
National accounts indicator (ESA 2010);;Gross domestic product at market prices;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
Belgium;34.060;;34.770;;35.210;;35.950;;36.960;;37.960;;39.130;;40.260;;41.620;;39.650;p
Bulgaria;5.640;;5.780;;5.790;;5.960;;6.380;;6.840;;7.420;;8.000;;8.820;;8.840;
Czechia;15.740;;15.470;;15.170;;15.000;;16.080;;16.790;;18.330;;19.850;;21.140;;20.120;
Denmark;44.500;;45.530;;46.100;;47.090;;48.050;;49.420;;51.140;;52.180;;53.370;;53.600;
Germany (until 1990 former territory of the FRG);33.550;;34.130;;34.860;;36.150;;37.050;;38.070;;39.530;;40.620;p;41.800;p;40.490;p
Estonia;12.540;;13.520;;14.320;;15.240;;15.710;;16.530;;18.120;;19.570;;20.930;;20.190;
Ireland;37.500;;38.180;;38.830;;41.900;;55.970;;56.870;;61.830;;67.080;;72.360;;74.870;
Greece;18.310;;17.060;;16.400;;16.270;;16.300;;16.190;;16.450;;16.730;;17.090;p;15.420;p
Spain;22.760;;22.050;;21.900;;22.220;;23.220;;23.980;;24.970;;25.750;;26.420;p;23.690;p
France;31.510;;31.820;;32.080;;32.420;;33.020;;33.430;;34.230;;35.070;;36.050;p;33.960;p
Croatia;10.600;;10.420;;10.420;;10.370;;10.740;;11.320;;12.080;;12.880;;13.660;;12.400;e
Italy;27.470;;26.990;;26.740;;26.980;;27.480;;28.210;;28.940;;29.580;;30.050;;27.810;
Cyprus;23.270;;22.500;;20.880;;20.450;;21.100;;22.230;;23.550;;24.840;;26.090;;24.160;p
Latvia;9.550;;10.870;;11.320;;11.850;;12.430;;12.950;;13.900;;15.130;;16.020;;15.530;
Lithuania;10.340;;11.180;;11.850;;12.480;;12.860;;13.560;;14.950;;16.250;;17.490;;17.710;
Luxembourg;85.330;;87.540;;90.030;;92.760;;95.090;;96.230;;97.440;;99.150;;100.890;;101.760;
Hungary;10.250;;10.110;;10.340;;10.770;;11.460;;11.850;;12.980;;13.920;;14.950;;14.010;p
Malta;16.630;;17.530;;18.650;;20.120;;22.450;;23.190;;25.530;;26.750;;27.830;;25.310;
Netherlands;38.960;;38.970;;39.300;;39.820;;40.730;;41.590;;43.090;;44.920;;46.880;p;45.870;p
Austria;36.970;;37.820;;38.210;;38.990;;39.890;;40.920;;42.000;;43.610;;44.780;;42.540;
Poland;9.860;;10.070;;10.190;;10.630;;11.190;;11.110;;12.170;;12.960;;13.900;;13.650;
Portugal;16.680;;16.010;;16.300;;16.640;;17.350;;18.060;;19.020;;19.950;;20.840;;19.430;p
Romania;6.540;;6.620;;7.190;;7.570;;8.080;;8.630;;9.580;;10.500;;11.520;;11.330;p
Slovenia;18.050;;17.630;;17.700;;18.250;;18.830;;19.590;;20.820;;22.140;;23.170;;22.310;
Slovakia;13.240;;13.570;;13.710;;14.040;;14.730;;14.920;;15.530;;16.420;;17.250;;16.860;
Finland;36.750;;37.130;;37.570;;37.880;;38.570;;39.580;;41.080;;42.320;;43.480;;42.700;
Sweden;43.690;;45.170;;46.020;;45.260;;46.480;;46.990;;47.730;;46.260;;46.390;;45.920;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
e;estimated;;;;;;;;;;;;;;;;;;;
p;provisional;;;;;;;;;;;;;;;;;;;
